id,date,amount,region
1,2025-01-01,101,South
2,2025-01-01,102,South
3,2025-01-01,103,South
4,2025-01-01,104,South
5,2025-01-01,105,South
6,2025-01-01,106,South
7,2025-01-01,107,South
8,2025-01-01,108,South
9,2025-01-01,109,South
10,2025-01-01,110,South
11,2025-01-01,111,South
12,2025-01-01,112,South
13,2025-01-01,113,South
14,2025-01-01,114,South
15,2025-01-01,115,South
16,2025-01-01,116,South
17,2025-01-01,117,South
18,2025-01-01,118,South
19,2025-01-01,119,South
20,2025-01-01,120,South
21,2025-01-01,121,South
22,2025-01-01,122,South
23,2025-01-01,123,South
24,2025-01-01,124,South
25,2025-01-01,125,South
26,2025-01-01,126,South
27,2025-01-01,127,South
28,2025-01-01,128,South
29,2025-01-01,129,South
30,2025-01-01,130,South
31,2025-01-01,131,South
32,2025-01-01,132,South
33,2025-01-01,133,South
34,2025-01-01,134,South
35,2025-01-01,135,South
36,2025-01-01,136,South
37,2025-01-01,137,South
38,2025-01-01,138,South
39,2025-01-01,139,South
40,2025-01-01,140,South
41,2025-01-01,141,South
42,2025-01-01,142,South
43,2025-01-01,143,South
44,2025-01-01,144,South
45,2025-01-01,145,South
46,2025-01-01,146,South
47,2025-01-01,147,South
48,2025-01-01,148,South
49,2025-01-01,149,South
50,2025-01-01,150,South
51,2025-01-01,151,South
52,2025-01-01,152,South
53,2025-01-01,153,South
54,2025-01-01,154,South
55,2025-01-01,155,South
56,2025-01-01,156,South
57,2025-01-01,157,South
58,2025-01-01,158,South
59,2025-01-01,159,South
60,2025-01-01,160,South
61,2025-01-01,161,South
62,2025-01-01,162,South
63,2025-01-01,163,South
64,2025-01-01,164,South
65,2025-01-01,165,South
66,2025-01-01,166,South
67,2025-01-01,167,South
68,2025-01-01,168,South
69,2025-01-01,169,South
70,2025-01-01,170,South
71,2025-01-01,171,South
72,2025-01-01,172,South
73,2025-01-01,173,South
74,2025-01-01,174,South
75,2025-01-01,175,South
76,2025-01-01,176,South
77,2025-01-01,177,South
78,2025-01-01,178,South
79,2025-01-01,179,South
80,2025-01-01,180,South
81,2025-01-01,181,South
82,2025-01-01,182,South
83,2025-01-01,183,South
84,2025-01-01,184,South
85,2025-01-01,185,South
86,2025-01-01,186,South
87,2025-01-01,187,South
88,2025-01-01,188,South
89,2025-01-01,189,South
90,2025-01-01,190,South
91,2025-01-01,191,South
92,2025-01-01,192,South
93,2025-01-01,193,South
94,2025-01-01,194,South
95,2025-01-01,195,South
96,2025-01-01,196,South
97,2025-01-01,197,South
98,2025-01-01,198,South
99,2025-01-01,199,South
100,2025-01-01,200,South
